change_ms,time_ms,diff_ms
166.0,165.125,-0.875
266.0,267.392,1.391999999999996
278.0,280.363,2.3629999999999995
290.0,292.336,2.3360000000000127
302.0,303.81,1.8100000000000023
314.0,316.281,2.281000000000006
688.0,690.93,2.92999999999995
926.0,924.399,-1.600999999999999
942.0,940.363,-1.6369999999999436
1538.0,1538.503,0.5029999999999291
1552.0,1552.472,0.47199999999998
1566.0,1566.44,0.44000000000005457
1580.0,1580.408,0.4079999999999018
1828.0,1826.349,-1.6510000000000673
1844.0,1842.313,-1.6869999999998981
2707.0,2706.349,-0.6509999999998399
2722.0,2721.315,-0.6849999999999454
2885.0,2886.44,1.4400000000000546
2898.0,2899.41,1.4099999999998545
3289.0,3286.531,-2.469000000000051
3306.0,3303.492,-2.507999999999811
3513.0,3512.517,-0.4830000000001746
3528.0,3527.483,-0.5169999999998254
4916.0,4918.322,2.3220000000001164
4928.0,4930.295,2.2950000000000728
4995.0,4996.644,1.6440000000002328
5008.0,5009.615,1.6149999999997817
5747.0,5744.444,-2.5559999999995853
5764.0,5761.406,-2.594000000000051
6218.0,6216.372,-1.6279999999997017
6234.0,6232.336,-1.66399999999976
6527.0,6528.662,1.662000000000262
6540.0,6541.633,1.6329999999998108
6597.0,6598.503,1.5029999999997017
6610.0,6611.474,1.47400000000016
6933.0,6932.744,-0.25600000000031287
6948.0,6947.71,-0.2899999999999636
7237.0,7236.553,-0.4470000000001164
7252.0,7251.519,-0.48099999999976717
7269.0,7266.485,-2.5150000000003274
7286.0,7283.447,-2.5529999999998836
7697.0,7698.503,1.5029999999997017
7710.0,7711.474,1.47400000000016
7722.0,7724.444,2.4440000000004147
7734.0,7736.417,2.417000000000371
8043.0,8044.717,1.7169999999996435
8056.0,8057.687,1.6869999999998981
8138.0,8138.503,0.5029999999997017
8152.0,8152.472,0.4719999999997526
8567.0,8568.526,1.52599999999984
8580.0,8581.497,1.4969999999993888
8697.0,8694.739,-2.261000000000422
8714.0,8711.701,-2.2990000000008877
10045.0,10044.671,-0.3289999999997235
10060.0,10059.637,-0.36299999999937427
10360.0,10360.454,0.4539999999997235
10374.0,10374.422,0.4220000000004802
10632.0,10632.336,0.3359999999993306
10646.0,10646.304,0.3040000000000873
11223.0,11222.494,-0.5059999999994034
11238.0,11237.46,-0.5400000000008731
11550.0,11548.254,-1.745999999999185
11566.0,11564.717,-1.282999999999447
11960.0,11962.313,2.313000000000102
11972.0,11974.286,2.286000000000058
12055.0,12054.603,-0.397000000000844
12070.0,12069.569,-0.43100000000049477
12143.0,12144.399,1.3989999999994325
12156.0,12157.37,1.3700000000008004
12719.0,12716.599,-2.40099999999984
12736.0,12733.56,-2.4400000000005093
12990.0,12988.481,-1.5190000000002328
13006.0,13004.444,-1.5560000000004948
14256.0,14254.603,-1.397000000000844
14272.0,14270.567,-1.4330000000009022
14911.0,14908.617,-2.382999999999811
14928.0,14925.578,-2.42200000000048
15439.0,15436.417,-2.5830000000005384
15456.0,15453.379,-2.620999999999185
15874.0,15874.422,0.4220000000004802
15888.0,15888.39,0.3899999999994179
17063.0,17060.726,-2.2740000000012515
17080.0,17077.687,-2.312999999998283
17677.0,17678.322,1.3220000000001164
17690.0,17691.293,1.2930000000014843
18067.0,18066.44,-0.5600000000013097
18082.0,18081.406,-0.5940000000009604
18099.0,18096.372,-2.628000000000611
18116.0,18113.333,-2.6670000000012806
18903.0,18904.535,1.5349999999998545
18916.0,18917.506,1.5060000000012224
19010.0,19012.29,2.290000000000873
19022.0,19024.263,2.2629999999990105
19037.0,19036.735,-0.2649999999994179
19052.0,19051.701,-0.2989999999990687
19168.0,19166.44,-1.5600000000013097
19184.0,19182.404,-1.5960000000013679
19540.0,19540.59,0.5900000000001455
19554.0,19554.558,0.5580000000009022
19567.0,19568.526,1.526000000001659
19580.0,19581.497,1.4969999999993888
19852.0,19850.385,-1.6150000000016007
19868.0,19866.349,-1.651000000001659
19918.0,19920.726,2.7259999999987485
19930.0,19932.698,2.69800000000032
20229.0,20228.526,-0.4739999999983411
20244.0,20243.492,-0.5080000000016298
20352.0,20354.739,2.739000000001397
20364.0,20366.712,2.7119999999995343
20435.0,20434.558,-0.4419999999990978
20450.0,20449.524,-0.47599999999874854
20464.0,20464.49,0.4900000000016007
20478.0,20478.458,0.45799999999871943
20857.0,20856.599,-0.4010000000016589
20872.0,20871.565,-0.4350000000013097
21257.0,21254.694,-2.3060000000004948
21274.0,21271.655,-2.345000000001164
21653.0,21654.286,1.2860000000000582
21666.0,21667.755,1.7550000000010186
21806.0,21808.435,2.4350000000013097
